            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2458875.500000000, A.D. 2020-Jan-27 00:00:00.0000,  4.048742812923874E+09, -9.864087629580828E+09,  4.534989034674234E+08,
2458876.500000000, A.D. 2020-Jan-28 00:00:00.0000,  4.046733464562978E+09, -9.859484508402420E+09,  4.532935703789921E+08,
2458877.500000000, A.D. 2020-Jan-29 00:00:00.0000,  4.044724112515464E+09, -9.854881377766121E+09,  4.530882369303312E+08,
2458878.500000000, A.D. 2020-Jan-30 00:00:00.0000,  4.042714756779934E+09, -9.850278237671082E+09,  4.528829031206894E+08,
2458879.500000000, A.D. 2020-Jan-31 00:00:00.0000,  4.040705397355354E+09, -9.845675088116755E+09,  4.526775689492502E+08,
2458880.500000000, A.D. 2020-Feb-01 00:00:00.0000,  4.038696034241139E+09, -9.841071929102886E+09,  4.524722344151158E+08,
2458881.500000000, A.D. 2020-Feb-02 00:00:00.0000,  4.036686667437252E+09, -9.836468760629501E+09,  4.522668995173082E+08,
2458882.500000000, A.D. 2020-Feb-03 00:00:00.0000,  4.034677296944298E+09, -9.831865582696865E+09,  4.520615642547541E+08,
2458883.500000000, A.D. 2020-Feb-04 00:00:00.0000,  4.032667922763638E+09, -9.827262395305416E+09,  4.518562286262875E+08,
2458884.500000000, A.D. 2020-Feb-05 00:00:00.0000,  4.030658544897485E+09, -9.822659198455681E+09,  4.516508926306419E+08,
2458885.500000000, A.D. 2020-Feb-06 00:00:00.0000,  4.028649163349000E+09, -9.818055992148144E+09,  4.514455562664552E+08,
2458886.500000000, A.D. 2020-Feb-07 00:00:00.0000,  4.026639778122364E+09, -9.813452776383102E+09,  4.512402195322747E+08,
2458887.500000000, A.D. 2020-Feb-08 00:00:00.0000,  4.024630389222821E+09, -9.808849551160475E+09,  4.510348824265623E+08,
2458888.500000000, A.D. 2020-Feb-09 00:00:00.0000,  4.022620996656680E+09, -9.804246316479609E+09,  4.508295449477205E+08,
2458889.500000000, A.D. 2020-Feb-10 00:00:00.0000,  4.020611600431271E+09, -9.799643072339073E+09,  4.506242070941043E+08,
2458890.500000000, A.D. 2020-Feb-11 00:00:00.0000,  4.018602200554843E+09, -9.795039818736444E+09,  4.504188688640523E+08,
2458891.500000000, A.D. 2020-Feb-12 00:00:00.0000,  4.016592797036419E+09, -9.790436555668125E+09,  4.502135302559094E+08,
2458892.500000000, A.D. 2020-Feb-13 00:00:00.0000,  4.014583389885595E+09, -9.785833283129208E+09,  4.500081912680650E+08,
2458893.500000000, A.D. 2020-Feb-14 00:00:00.0000,  4.012573979112314E+09, -9.781230001113369E+09,  4.498028518989720E+08,
2458894.500000000, A.D. 2020-Feb-15 00:00:00.0000,  4.010564564726616E+09, -9.776626709612839E+09,  4.495975121471791E+08,
2458895.500000000, A.D. 2020-Feb-16 00:00:00.0000,  4.008555146738397E+09, -9.772023408618431E+09,  4.493921720113487E+08,
2458896.500000000, A.D. 2020-Feb-17 00:00:00.0000,  4.006545725157175E+09, -9.767420098119606E+09,  4.491868314902692E+08,
2458897.500000000, A.D. 2020-Feb-18 00:00:00.0000,  4.004536299991902E+09, -9.762816778104630E+09,  4.489814905828657E+08,
2458898.500000000, A.D. 2020-Feb-19 00:00:00.0000,  4.002526871250809E+09, -9.758213448560701E+09,  4.487761492881961E+08,
2458899.500000000, A.D. 2020-Feb-20 00:00:00.0000,  4.000517438941303E+09, -9.753610109474159E+09,  4.485708076054487E+08,
2458900.500000000, A.D. 2020-Feb-21 00:00:00.0000,  3.998508003069907E+09, -9.749006760830650E+09,  4.483654655339336E+08,
2458901.500000000, A.D. 2020-Feb-22 00:00:00.0000,  3.996498563642248E+09, -9.744403402615313E+09,  4.481601230730686E+08,
2458902.500000000, A.D. 2020-Feb-23 00:00:00.0000,  3.994489120663073E+09, -9.739800034812923E+09,  4.479547802223577E+08,
2458903.500000000, A.D. 2020-Feb-24 00:00:00.0000,  3.992479674136294E+09, -9.735196657408052E+09,  4.477494369813871E+08,
2458904.500000000, A.D. 2020-Feb-25 00:00:00.0000,  3.990470224065052E+09, -9.730593270385160E+09,  4.475440933498020E+08,
2458905.500000000, A.D. 2020-Feb-26 00:00:00.0000,  3.988460770451790E+09, -9.725989873728687E+09,  4.473387493272958E+08,
2458906.500000000, A.D. 2020-Feb-27 00:00:00.0000,  3.986451313298327E+09, -9.721386467423122E+09,  4.471334049135971E+08,
2458907.500000000, A.D. 2020-Feb-28 00:00:00.0000,  3.984441852605940E+09, -9.716783051453053E+09,  4.469280601084590E+08,
2458908.500000000, A.D. 2020-Feb-29 00:00:00.0000,  3.982432388375431E+09, -9.712179625803171E+09,  4.467227149116497E+08,
2458909.500000000, A.D. 2020-Mar-01 00:00:00.0000,  3.980422920607198E+09, -9.707576190458307E+09,  4.465173693229418E+08,
2458910.500000000, A.D. 2020-Mar-02 00:00:00.0000,  3.978413449301287E+09, -9.702972745403427E+09,  4.463120233421178E+08,
2458911.500000000, A.D. 2020-Mar-03 00:00:00.0000,  3.976403974457452E+09, -9.698369290623627E+09,  4.461066769689527E+08,
2458912.500000000, A.D. 2020-Mar-04 00:00:00.0000,  3.974394496075191E+09, -9.693765826104118E+09,  4.459013302032170E+08,
