            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2458874.500000000, A.D. 2020-Jan-26 00:00:00.0000, -8.490243784085938E+07,  1.203416643025490E+08, -5.025041589878500E+03,
2458875.500000000, A.D. 2020-Jan-27 00:00:00.0000, -8.703486781332257E+07,  1.188288574709998E+08, -4.882593435034156E+03,
2458876.500000000, A.D. 2020-Jan-28 00:00:00.0000, -8.914012089986241E+07,  1.172790990118835E+08, -4.754809318922460E+03,
2458877.500000000, A.D. 2020-Jan-29 00:00:00.0000, -9.121753696661247E+07,  1.156929259875928E+08, -4.643814584925771E+03,
2458878.500000000, A.D. 2020-Jan-30 00:00:00.0000, -9.326647409373462E+07,  1.140708883233164E+08, -4.550944141663611E+03,
2458879.500000000, A.D. 2020-Jan-31 00:00:00.0000, -9.528630844051655E+07,  1.124135473125231E+08, -4.476759094476700E+03,
2458880.500000000, A.D. 2020-Feb-01 00:00:00.0000, -9.727643414575638E+07,  1.107214744130011E+08, -4.421064030185342E+03,
2458881.500000000, A.D. 2020-Feb-02 00:00:00.0000, -9.923626339949141E+07,  1.089952501834790E+08, -4.382910771243274E+03,
2458882.500000000, A.D. 2020-Feb-03 00:00:00.0000, -1.011652267388938E+08,  1.072354631532547E+08, -4.360581306114793E+03,
2458883.500000000, A.D. 2020-Feb-04 00:00:00.0000, -1.030627735130053E+08,  1.054427083862390E+08, -4.351552046969533E+03,
2458884.500000000, A.D. 2020-Feb-05 00:00:00.0000, -1.049283723232431E+08,  1.036175855089188E+08, -4.352454095400870E+03,
2458885.500000000, A.D. 2020-Feb-06 00:00:00.0000, -1.067615110822159E+08,  1.017606960507240E+08, -4.359059904150665E+03,
2458886.500000000, A.D. 2020-Feb-07 00:00:00.0000, -1.085616961775428E+08,  9.987264014225948E+07, -4.366342936590314E+03,
2458887.500000000, A.D. 2020-Feb-08 00:00:00.0000, -1.103284501748212E+08,  9.795401296237789E+07, -4.368665479972959E+03,
2458888.500000000, A.D. 2020-Feb-09 00:00:00.0000, -1.120613076920073E+08,  9.600540176183006E+07, -4.360136762186885E+03,
2458889.500000000, A.D. 2020-Feb-10 00:00:00.0000, -1.137598096325914E+08,  9.402738460442460E+07, -4.335137010015547E+03,
2458890.500000000, A.D. 2020-Feb-11 00:00:00.0000, -1.154234967641111E+08,  9.202053183191660E+07, -4.288929645068944E+03,
2458891.500000000, A.D. 2020-Feb-12 00:00:00.0000, -1.170519042462159E+08,  8.998541050190082E+07, -4.218219817534089E+03,
2458892.500000000, A.D. 2020-Feb-13 00:00:00.0000, -1.186445586467104E+08,  8.792259094601163E+07, -4.121511197004467E+03,
2458893.500000000, A.D. 2020-Feb-14 00:00:00.0000, -1.202009781392959E+08,  8.583265380490562E+07, -3.999180263146758E+03,
2458894.500000000, A.D. 2020-Feb-15 00:00:00.0000, -1.217206754526676E+08,  8.371619591041729E+07, -3.853288779176772E+03,
2458895.500000000, A.D. 2020-Feb-16 00:00:00.0000, -1.232031624091078E+08,  8.157383409255040E+07, -3.687228945106268E+03,
2458896.500000000, A.D. 2020-Feb-17 00:00:00.0000, -1.246479548299256E+08,  7.940620684660488E+07, -3.505310812566429E+03,
2458897.500000000, A.D. 2020-Feb-18 00:00:00.0000, -1.260545769848179E+08,  7.721397434537816E+07, -3.312371711451560E+03,
2458898.500000000, A.D. 2020-Feb-19 00:00:00.0000, -1.274225652503081E+08,  7.499781741918567E+07, -3.113445049747825E+03,
2458899.500000000, A.D. 2020-Feb-20 00:00:00.0000, -1.287514709809353E+08,  7.275843599926460E+07, -2.913493938963860E+03,
2458900.500000000, A.D. 2020-Feb-21 00:00:00.0000, -1.300408627382613E+08,  7.049654731628169E+07, -2.717200073432177E+03,
2458901.500000000, A.D. 2020-Feb-22 00:00:00.0000, -1.312903280255459E+08,  6.821288398236787E+07, -2.528796166483313E+03,
2458902.500000000, A.D. 2020-Feb-23 00:00:00.0000, -1.324994746195255E+08,  6.590819200044240E+07, -2.351934308003634E+03,
2458903.500000000, A.D. 2020-Feb-24 00:00:00.0000, -1.336679315346572E+08,  6.358322872776618E+07, -2.189587376195937E+03,
2458904.500000000, A.D. 2020-Feb-25 00:00:00.0000, -1.347953496301634E+08,  6.123876084054378E+07, -2.043983026407659E+03,
2458905.500000000, A.D. 2020-Feb-26 00:00:00.0000, -1.358814018813256E+08,  5.887556236991630E+07, -1.916568989254534E+03,
2458906.500000000, A.D. 2020-Feb-27 00:00:00.0000, -1.369257833709339E+08,  5.649441288306822E+07, -1.808005348093808E+03,
2458907.500000000, A.D. 2020-Feb-28 00:00:00.0000, -1.379282110937461E+08,  5.409609585722373E+07, -1.718175913695246E+03,
2458908.500000000, A.D. 2020-Feb-29 00:00:00.0000, -1.388884236870220E+08,  5.168139724350893E+07, -1.646208540182561E+03,
2458909.500000000, A.D. 2020-Mar-01 00:00:00.0000, -1.398061811917705E+08,  4.925110415444568E+07, -1.590494415268302E+03,
2458910.500000000, A.D. 2020-Mar-02 00:00:00.0000, -1.406812649076679E+08,  4.680600354731851E+07, -1.548699545674026E+03,
2458911.500000000, A.D. 2020-Mar-03 00:00:00.0000, -1.415134773284175E+08,  4.434688072917384E+07, -1.517768058236688E+03,
2458912.500000000, A.D. 2020-Mar-04 00:00:00.0000, -1.423026420325584E+08,  4.187451749389703E+07, -1.493926751036197E+03,
2458913.500000000, A.D. 2020-Mar-05 00:00:00.0000, -1.430486032601647E+08,  3.938968974412142E+07, -1.472713487664238E+03,
2458914.500000000, A.D. 2020-Mar-06 00:00:00.0000, -1.437512247505385E+08,  3.689316459192768E+07, -1.449066872399300E+03,
2458915.500000000, A.D. 2020-Mar-07 00:00:00.0000, -1.444103873180138E+08,  3.438569721494207E+07, -1.417525440029800E+03,
2458916.500000000, A.D. 2020-Mar-08 00:00:00.0000, -1.450259847355143E+08,  3.186802816082249E+07, -1.372579501194879E+03,
2458917.500000000, A.D. 2020-Mar-09 00:00:00.0000, -1.455979179341489E+08,  2.934088219756727E+07, -1.309182900652289E+03,
2458918.500000000, A.D. 2020-Mar-10 00:00:00.0000, -1.461260883310285E+08,  2.680496987368333E+07, -1.223361197631806E+03,
2458919.500000000, A.D. 2020-Mar-11 00:00:00.0000, -1.466103919393146E+08,  2.426099234087564E+07, -1.112773595822975E+03,
2458920.500000000, A.D. 2020-Mar-12 00:00:00.0000, -1.470507161588502E+08,  2.170964875177173E+07, -9.770550453644246E+02,
2458921.500000000, A.D. 2020-Mar-13 00:00:00.0000, -1.474469403630248E+08,  1.915164435195585E+07, -8.178254405530170E+02,
2458922.500000000, A.D. 2020-Mar-14 00:00:00.0000, -1.477989399378609E+08,  1.658769709372747E+07, -6.383801226019859E+02,
2458923.500000000, A.D. 2020-Mar-15 00:00:00.0000, -1.481065922417549E+08,  1.401854140884737E+07, -4.431873454088345E+02,
2458924.500000000, A.D. 2020-Mar-16 00:00:00.0000, -1.483697827085903E+08,  1.144492904010767E+07, -2.373497228636406E+02,
2458925.500000000, A.D. 2020-Mar-17 00:00:00.0000, -1.485884098839546E+08,  8.867627736592174E+06, -2.614327975781634E+01,
2458926.500000000, A.D. 2020-Mar-18 00:00:00.0000, -1.487623889790698E+08,  6.287418858094260E+06,  1.853209040933289E+02,
